type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44, x45, y45, x46, y46, x47, y47, x48, y48, x49, y49, x50, y50, x51, y51, x52, y52, x53, y53, x54, y54, x55, y55, x56, y56, x57, y57, x58, y58, x59, y59, x60, y60, x61, y61, x62, y62, x63, y63, x64, y64, x65, y65, x66, y66, x67, y67, x68, y68, x69, y69, x70, y70
Type00, L, 240, 58.508172, 240.285927, 55.750045, 240.219807, 50.784376, 240.079616, 42.680372, 236.868744, 35.586134, 231.859548, 29.503667, 224.902832, 26.624338, 217.192696, 24.615344, 208.916393, 23.704299, 201.064429, 22.906531, 192.515844, 22.209767, 184.745534, 21.136115, 177.223467, 19.814761, 168.768519, 18.124899, 160.852637, 16.369338, 153.171025, 14.717164, 145.298374, 12.382357, 137.309960, 10.571684, 129.251268, 8.400373, 121.383382, 6.217237, 113.271195, 4.223057, 105.011174, 2.598704, 97.852448, 1.082646, 89.995877, 0.000000, 81.739478, 0.115895, 73.331302, 1.376780, 64.715822, 3.146354, 57.172657, 5.694951, 48.865816, 8.231567, 41.371350, 11.211702, 33.466013, 14.603307, 25.558627, 18.761936, 18.150961, 24.131460, 11.098293, 30.869221, 5.360581, 38.548456, 1.775935, 46.663439, 0.000000, 54.085155, 0.499183, 62.068454, 3.034742, 69.227832, 8.415139, 74.352791, 15.418827, 77.641442, 23.356677, 80.205212, 31.414293, 81.900831, 39.556308, 83.168898, 47.226046, 84.743028, 55.995156, 85.067506, 63.979668, 84.541387, 72.512315, 83.897331, 79.881226, 83.102446, 87.788487, 82.558487, 95.186268, 82.173632, 103.378821, 82.164702, 111.735653, 82.073713, 119.925873, 82.435834, 128.076851, 82.844418, 136.661245, 83.515767, 144.769334, 84.054317, 152.704696, 84.657000, 161.520384, 84.997378, 169.232229, 84.991341, 176.994520, 84.542660, 185.308539, 83.706055, 192.595239, 82.507905, 201.455327, 81.833889, 209.540748, 81.171056, 217.840566, 78.767787, 225.828680, 73.501811, 233.059457, 66.684577, 238.820032, 61.344092, 239.588972, 58.380242, 240.583319
Type00, L, 245, 59.408673, 245.343316, 56.503502, 245.310148, 50.693202, 244.598217, 42.854372, 240.922597, 36.609220, 234.196454, 32.330470, 226.712590, 28.629695, 218.805261, 25.938193, 211.101770, 23.712005, 202.554459, 21.924413, 194.179250, 20.277078, 185.850331, 18.877563, 178.088932, 17.305634, 170.205835, 15.524792, 161.989026, 13.768682, 153.989290, 12.059346, 145.774206, 10.109454, 137.866290, 8.385637, 129.704585, 6.575041, 121.994444, 4.875372, 113.815291, 3.003605, 105.584432, 1.387815, 96.612153, 0.239093, 89.084356, 0.000000, 80.605051, 0.301208, 72.398773, 1.463813, 64.065432, 3.284773, 56.120114, 5.248923, 48.009660, 8.191328, 39.726495, 11.199307, 31.651768, 15.081062, 23.797704, 19.770626, 16.307173, 25.354883, 9.435615, 32.907721, 4.129637, 40.510080, 0.886930, 48.816406, 0.000000, 57.052455, 0.996110, 65.295269, 4.171757, 72.043754, 10.485395, 75.859304, 18.207051, 78.824615, 25.934470, 80.911380, 33.932092, 82.841679, 42.157720, 84.573617, 50.200732, 85.364474, 58.452248, 85.886996, 66.802631, 85.713868, 74.633598, 85.253044, 82.939057, 84.633365, 91.454184, 83.671154, 99.056717, 82.978912, 108.127148, 82.323750, 116.581649, 82.265846, 124.602541, 82.720928, 133.035699, 83.624931, 140.937008, 84.894978, 149.081266, 85.797505, 157.353375, 85.731188, 165.577151, 85.502407, 173.575891, 85.096968, 182.331191, 84.918784, 190.149581, 84.797120, 198.520013, 84.586688, 207.063474, 84.222748, 215.342313, 83.185131, 223.830338, 80.404162, 231.734051, 75.391661, 239.380612, 67.606698, 244.180094, 62.484969, 244.897343, 58.675101, 245.628842
Type00, L, 255, 61.634861, 255.455581, 58.962299, 255.511656, 53.425825, 255.097527, 45.103427, 251.590593, 37.868053, 246.085304, 31.831674, 238.972506, 28.766280, 230.406701, 26.711963, 221.658570, 25.815710, 212.737159, 24.618297, 204.515443, 23.325020, 195.617661, 22.311498, 187.020217, 20.585059, 178.792206, 19.416076, 170.095913, 17.614315, 160.946295, 16.084011, 152.628987, 14.421165, 144.154716, 11.938772, 135.229430, 9.313498, 126.627240, 6.828068, 118.355707, 4.246718, 110.125303, 2.359738, 101.408758, 0.432092, 92.860922, 0.000000, 84.251770, 0.270561, 75.880911, 1.478341, 67.820012, 3.121268, 59.054080, 5.100076, 50.800525, 7.382723, 42.404785, 10.290153, 34.309926, 13.958350, 26.049363, 18.386765, 18.202646, 24.164598, 10.887139, 31.301541, 4.659540, 39.559087, 1.352407, 48.269884, 0.000000, 56.861230, 1.645886, 64.703941, 5.243847, 71.991004, 11.777992, 76.867202, 19.216324, 80.540870, 27.357305, 82.782108, 35.739077, 85.051000, 44.413090, 86.372010, 53.174910, 87.119165, 61.563370, 87.361596, 70.600346, 86.556018, 78.921595, 85.357650, 87.777355, 84.102533, 96.429783, 82.811646, 104.478699, 81.916621, 112.960915, 81.123803, 121.206231, 80.532937, 129.524866, 80.810474, 138.634949, 81.315154, 146.959987, 82.348484, 155.190043, 83.124830, 163.945818, 84.305777, 172.042083, 84.791706, 180.538765, 85.248740, 188.766663, 85.510862, 197.605708, 85.951236, 206.245463, 86.886553, 214.809200, 87.535545, 223.432448, 86.614884, 232.314833, 83.556650, 240.527476, 77.586761, 248.101311, 70.085411, 253.471317, 64.440672, 254.799394, 61.664320, 255.713673
Type00, L, 265, 68.364120, 264.608481, 65.631585, 265.338186, 59.446910, 265.302913, 50.504700, 263.377655, 42.264936, 258.837987, 35.483457, 251.594115, 31.372954, 243.066863, 28.811427, 234.575122, 26.507622, 225.068243, 24.643690, 216.179369, 23.301983, 207.397646, 21.533361, 198.182022, 20.193442, 189.713288, 18.364629, 180.674535, 17.010617, 171.622253, 15.034521, 163.038580, 13.097234, 154.090341, 10.666912, 144.892625, 8.490102, 136.254070, 6.096084, 127.315555, 4.189137, 118.110415, 2.379980, 109.714022, 0.945293, 100.591053, 0.289383, 91.557744, 0.000000, 82.884545, 0.730578, 73.807538, 2.103994, 64.968606, 4.233360, 56.258522, 6.739560, 47.922762, 10.206753, 39.023486, 13.878797, 30.909643, 18.106954, 22.721382, 23.281820, 14.452787, 29.438457, 7.709201, 37.528704, 2.453567, 46.594517, 0.181472, 55.700228, 0.000000, 64.356905, 2.540576, 72.356822, 8.474054, 78.088835, 16.317485, 82.211519, 24.426183, 85.321474, 33.341056, 87.409957, 42.040774, 89.494281, 51.167080, 90.761241, 59.770869, 92.031378, 68.662996, 92.112410, 77.958768, 91.267720, 86.820407, 89.610464, 95.431178, 87.749293, 104.059154, 86.629184, 113.911842, 86.102647, 122.491091, 86.074859, 131.504626, 86.688592, 140.705029, 87.250564, 149.315028, 88.300674, 158.203067, 88.813880, 167.088654, 89.536715, 175.805763, 89.465460, 185.032522, 90.552692, 193.257740, 91.186796, 202.390178, 91.767781, 210.963397, 92.029096, 220.074778, 91.820879, 229.114686, 90.898693, 238.685164, 88.647237, 246.829745, 84.383786, 255.183317, 77.398402, 262.297464, 71.130371, 263.822055, 68.798790, 265.031342
Type00, L, 270, 64.259265, 270.492079, 67.547692, 270.368426, 73.420554, 268.442058, 81.689613, 262.659378, 86.835010, 254.004983, 89.525245, 245.605433, 90.666213, 235.782159, 90.781251, 227.183827, 90.174655, 218.275002, 89.472272, 209.017690, 88.931498, 199.657023, 88.605136, 190.799348, 88.228104, 182.077173, 87.959980, 173.196465, 87.395981, 164.281195, 87.124600, 155.449289, 86.384564, 145.908880, 85.855036, 136.764417, 85.355542, 128.449859, 85.223893, 118.871597, 85.284600, 110.886342, 86.213640, 100.886300, 87.690646, 92.166871, 89.148214, 84.292619, 90.635949, 74.508876, 90.895454, 65.581800, 89.863552, 56.846762, 88.268506, 47.566150, 85.558823, 38.629357, 82.655147, 29.506851, 78.911831, 20.944461, 74.698684, 12.470789, 66.986433, 5.213061, 58.828271, 1.393388, 50.040068, 0.000000, 40.403996, 2.051743, 32.297089, 5.983813, 24.304792, 12.816080, 18.802100, 20.716585, 14.324845, 29.443978, 10.778894, 37.879661, 7.468457, 46.852828, 4.485769, 55.637607, 2.431283, 64.105931, 1.006062, 71.569048, 0.012322, 81.544862, 0.000000, 89.302212, 0.819730, 98.673767, 1.953378, 107.630385, 3.755459, 116.113315, 5.997223, 125.184777, 8.407301, 133.991436, 10.924170, 142.883441, 13.584603, 151.918322, 15.970470, 160.695271, 18.486595, 170.089793, 20.680305, 179.227360, 22.577188, 188.223169, 24.341447, 196.847672, 25.763780, 205.458165, 27.355713, 214.756042, 28.328134, 223.532812, 30.071524, 233.165659, 31.874210, 241.950243, 35.198056, 250.878564, 39.707797, 259.358059, 47.114850, 266.619987, 55.961808, 269.825212, 61.577758, 270.850957, 64.884787, 270.140113
Type00, L, 275, 62.100320, 275.534395, 59.037432, 275.310168, 53.027211, 274.462169, 44.489934, 269.760794, 36.952938, 262.660475, 32.395455, 253.952813, 29.213050, 245.649484, 27.318805, 236.160269, 25.953662, 227.875568, 24.609068, 217.634828, 23.570055, 209.407084, 22.076729, 199.484680, 20.603145, 191.062850, 18.686078, 182.076991, 16.656335, 172.769339, 14.543433, 163.622903, 12.446196, 154.329520, 10.335380, 145.739022, 8.265909, 136.550826, 6.073602, 127.299965, 4.265464, 118.391139, 2.477170, 109.162813, 0.992658, 100.080891, 0.084750, 90.848238, 0.000000, 81.428742, 1.133426, 72.112651, 3.123071, 63.162898, 5.738427, 54.305321, 9.071935, 44.981245, 12.517523, 36.094372, 16.490178, 27.181584, 20.943022, 18.662089, 27.282784, 10.732144, 35.310259, 4.606280, 44.022219, 1.405729, 53.700587, 0.000000, 62.863488, 1.999750, 71.542402, 6.562311, 78.469645, 14.302207, 82.982329, 22.910253, 86.188385, 31.522817, 88.867759, 40.514622, 90.693404, 49.495585, 92.135295, 58.934287, 93.496482, 67.707389, 93.920771, 77.112617, 93.671347, 86.543506, 92.813100, 95.762780, 91.587516, 105.015069, 90.497259, 114.144601, 89.491001, 123.356391, 89.653522, 132.513307, 90.165819, 141.487735, 91.628800, 150.893044, 92.622870, 160.297296, 93.430921, 169.543031, 93.678619, 179.029791, 93.732839, 187.810947, 93.700302, 197.599203, 93.620414, 206.000312, 93.600934, 215.651831, 93.953860, 224.677789, 93.680076, 233.881007, 92.656705, 243.323242, 90.364936, 252.865173, 86.391237, 261.629115, 80.344533, 269.795576, 71.325029, 274.325709, 65.515594, 275.348582, 62.487106, 275.330308
Type01, L, 230, 45.871850, 230.452038, 43.332338, 230.188145, 38.231220, 229.603747, 31.033275, 226.589654, 24.003976, 221.120031, 19.745768, 213.807184, 17.459802, 206.488338, 15.844015, 198.473965, 14.618758, 190.879418, 13.766634, 182.904979, 12.769451, 175.311525, 11.959426, 167.389921, 11.125251, 160.308830, 10.272548, 151.761836, 9.120258, 144.510764, 8.055691, 136.568554, 6.702988, 129.028635, 5.459278, 121.332728, 4.015143, 113.537487, 2.656314, 106.081605, 1.502323, 98.015597, 0.502151, 89.927311, 0.000000, 81.980184, 0.199998, 73.314253, 0.626943, 66.106144, 1.764611, 58.236009, 2.861532, 50.966824, 5.210608, 43.348188, 7.079420, 35.911932, 10.086403, 28.613217, 13.231587, 21.123320, 17.567654, 14.164771, 23.165480, 7.725287, 30.456979, 3.187206, 37.757886, 0.936502, 45.619319, 0.000000, 53.429835, 2.321382, 60.420738, 6.945897, 65.858574, 13.507213, 70.285830, 20.386146, 73.297336, 28.084028, 75.455444, 35.066503, 76.984515, 43.099738, 77.697283, 50.409883, 78.236645, 58.923614, 78.232937, 66.438167, 78.319137, 75.536005, 78.241638, 82.630032, 78.063544, 90.881236, 78.044575, 97.855563, 77.999758, 106.067622, 78.059073, 112.880683, 78.253307, 120.643195, 78.343600, 128.113730, 78.082179, 136.341605, 77.857638, 143.344475, 77.079034, 151.481331, 76.303008, 159.306720, 75.657740, 166.802594, 75.484861, 174.303765, 75.201235, 182.166491, 74.998525, 189.449936, 74.557338, 197.891246, 73.321299, 205.215443, 71.647975, 213.139167, 67.500761, 220.467514, 61.243218, 225.980608, 53.714624, 229.216409, 48.419705, 230.374639, 45.299235, 229.757382
Type01, L, 240, 53.275426, 240.407274, 50.767333, 240.306366, 45.531162, 240.169947, 37.370515, 237.464597, 30.276825, 233.046085, 24.521723, 226.185331, 21.496241, 218.323432, 19.641988, 210.206797, 18.483402, 202.219732, 17.497245, 193.683775, 16.905423, 185.945858, 16.131711, 178.183793, 14.698200, 169.443490, 13.735917, 161.826684, 11.763730, 153.290708, 10.464613, 145.548051, 8.515475, 137.343830, 7.270130, 129.676517, 5.188479, 121.184444, 4.147362, 113.662936, 2.470613, 105.044743, 1.636811, 97.323286, 0.498686, 88.931169, 0.055925, 80.381794, 0.000000, 72.018582, 0.422636, 64.061765, 1.232977, 55.914487, 2.943389, 47.883243, 4.691213, 40.165860, 7.647173, 32.286259, 11.002797, 24.709105, 15.236369, 17.005879, 20.400959, 10.372304, 27.251795, 4.518967, 35.063155, 1.398963, 42.958222, 0.000000, 50.608487, 1.141289, 58.690239, 4.624804, 65.511077, 10.092825, 71.047568, 17.015363, 74.778036, 24.623320, 77.441393, 32.437798, 79.155318, 40.825928, 80.084003, 49.212814, 80.269542, 56.391955, 80.330388, 64.819552, 79.988874, 72.254591, 79.850858, 80.681388, 79.719065, 89.927235, 79.784641, 96.890993, 79.800760, 105.921907, 79.810956, 114.711974, 79.838491, 121.653836, 80.120850, 131.356025, 80.083608, 138.696416, 80.320554, 146.624984, 80.247714, 155.396069, 80.330412, 162.812346, 80.205965, 170.735534, 80.160429, 180.155626, 79.989956, 186.766786, 79.654468, 195.585289, 79.238325, 203.613284, 78.439606, 211.959451, 76.920531, 219.968192, 73.585361, 227.573765, 68.568394, 234.504389, 61.336093, 239.168854, 55.616910, 239.846509, 53.445841, 240.794909
Type01, L, 250, 51.507325, 250.180580, 48.722403, 250.018426, 43.176549, 250.043414, 35.022076, 246.113531, 28.303927, 240.159220, 23.859124, 231.932027, 20.630728, 224.119021, 18.306716, 215.322420, 16.929545, 207.663505, 15.888826, 199.162039, 15.181074, 190.368205, 14.311664, 181.808506, 13.475990, 173.078492, 12.094865, 164.918084, 10.649703, 156.556549, 9.253881, 148.460556, 7.418025, 140.021896, 5.739552, 130.984007, 4.172580, 123.077773, 2.969299, 114.816957, 1.542185, 106.396094, 0.754854, 97.667723, 0.248311, 89.610795, 0.000000, 81.056218, 0.367797, 72.530174, 1.004082, 64.571450, 2.302644, 56.135762, 3.869551, 48.002375, 6.124524, 39.648305, 8.936561, 31.629264, 12.475040, 23.282869, 17.223172, 15.758785, 23.606740, 8.556614, 31.112005, 3.726534, 39.436882, 0.436346, 48.123908, 0.000000, 56.288127, 1.732777, 64.189245, 6.297187, 70.854062, 12.670322, 75.317109, 20.408725, 78.120734, 28.355541, 80.065038, 36.469352, 81.554816, 45.189299, 82.156698, 53.461560, 82.608709, 62.284679, 82.707417, 70.018112, 82.636407, 79.484649, 82.283054, 87.377512, 82.016653, 95.457187, 82.031631, 103.173985, 81.936240, 111.158842, 81.915888, 119.466331, 82.014579, 128.984938, 82.074192, 136.560854, 82.209657, 145.529731, 82.277140, 153.971061, 82.544344, 162.778347, 82.599395, 171.862348, 82.704805, 179.285365, 82.630535, 188.407853, 82.735231, 197.339566, 82.450639, 206.008083, 82.382307, 214.507944, 81.064413, 223.132941, 79.426158, 231.163503, 75.256092, 239.578740, 68.273485, 245.610877, 59.989790, 248.961486, 54.481893, 250.036663, 51.533247, 249.886736
Type01, L, 260, 59.611145, 260.321438, 56.312315, 260.479505, 50.109150, 259.748458, 42.332169, 256.748730, 34.535148, 250.483198, 29.387443, 243.015687, 26.359158, 234.155094, 23.752116, 225.630764, 22.222556, 216.561927, 20.798800, 208.282222, 19.285750, 199.353931, 17.773821, 190.823645, 16.288227, 182.307787, 14.391495, 174.057278, 12.980749, 165.282968, 10.871011, 156.446142, 9.267977, 147.749428, 7.227848, 138.833559, 5.717947, 130.773854, 4.092735, 122.056595, 2.639960, 113.422417, 1.478964, 105.243681, 0.586245, 96.327968, 0.000000, 88.158758, 0.123401, 78.899311, 1.247078, 70.031581, 2.933600, 62.562033, 5.702205, 53.009947, 8.718874, 44.791622, 11.920086, 36.465003, 15.427860, 28.352582, 19.856676, 20.112447, 25.133230, 12.448190, 32.311581, 5.949491, 40.399283, 1.722741, 49.047006, 0.000000, 57.675852, 0.640584, 65.564486, 3.837339, 72.810162, 10.548442, 77.310677, 18.680712, 80.951460, 26.815172, 83.522144, 35.334058, 85.608434, 44.528938, 86.997408, 53.216965, 87.198095, 61.457155, 87.702585, 70.312172, 87.064457, 79.015456, 86.500156, 87.622733, 85.532371, 95.905907, 84.733222, 104.792372, 83.945205, 113.386161, 83.907578, 122.651281, 84.380096, 131.782959, 85.077613, 139.818378, 86.193371, 148.548677, 86.562005, 157.265332, 87.149402, 165.969243, 87.310462, 174.705200, 87.438631, 184.047921, 87.470487, 193.090690, 87.289889, 202.134049, 87.326486, 210.828824, 86.993001, 220.191325, 86.652367, 228.687676, 85.280232, 237.677509, 82.368213, 245.989234, 76.196140, 253.623152, 68.292281, 258.692788, 62.029787, 259.691783, 59.973848, 260.482056
Type01, L, 280, 58.751694, 280.499961, 55.333789, 280.367593, 49.203705, 279.954244, 40.085503, 276.267817, 32.220275, 269.196036, 27.474792, 260.573559, 24.825835, 251.037617, 22.916564, 241.933798, 21.401541, 232.403855, 19.872293, 222.897161, 18.717009, 213.267248, 17.170387, 204.073741, 15.767406, 194.999413, 14.152493, 185.562389, 12.486298, 175.840911, 10.759000, 166.567959, 8.731790, 157.325011, 7.146615, 148.153534, 5.305834, 139.018566, 3.338857, 129.400505, 1.869891, 120.280636, 0.946308, 111.296660, 0.000000, 100.920445, 0.131037, 92.264479, 0.598392, 82.361075, 1.658814, 73.765423, 3.627828, 64.491529, 5.724466, 55.470175, 8.570350, 46.992396, 12.007858, 37.987914, 16.175960, 29.000809, 21.015000, 20.488927, 27.266202, 12.431749, 35.265868, 5.615003, 43.999978, 1.355038, 54.033174, 0.000000, 63.188973, 1.841545, 71.944598, 6.793199, 78.536958, 15.097308, 82.849073, 23.547491, 85.379242, 32.542813, 87.164030, 41.896981, 88.732751, 51.187853, 89.764997, 60.459478, 90.413136, 69.360459, 90.209433, 79.125369, 89.546232, 88.052902, 88.448203, 98.152266, 87.717985, 106.739506, 87.166903, 116.214843, 86.586226, 125.861876, 86.581080, 135.429691, 86.890742, 144.554887, 87.354300, 154.567674, 88.358784, 163.090823, 89.488065, 173.107697, 90.327408, 181.839764, 90.343400, 191.278355, 89.722471, 199.874268, 89.316248, 210.291174, 89.077776, 219.456984, 89.140894, 229.323153, 88.903353, 238.724618, 88.408272, 247.665406, 86.633705, 256.628591, 83.379032, 265.508575, 76.982403, 274.021670, 68.154689, 278.992962, 62.266141, 279.686437, 58.476779, 280.789208
Type01, L, 290, 59.841107, 290.483187, 56.854262, 290.457368, 49.958390, 289.998882, 41.008175, 285.849954, 33.029670, 278.473533, 28.051292, 269.433465, 25.371071, 259.700709, 24.184267, 250.422604, 22.520503, 240.760976, 20.896307, 231.025375, 19.194306, 221.309090, 17.938806, 211.831909, 16.705326, 202.358782, 15.398519, 192.633060, 14.245638, 182.756174, 12.591897, 173.269392, 11.044267, 164.102012, 8.655354, 154.211578, 6.820299, 144.611642, 4.563113, 134.568865, 2.896972, 124.769307, 1.218713, 115.133246, 0.509088, 105.417499, 0.000000, 95.655843, 0.426116, 85.295236, 1.391986, 76.163663, 3.252222, 66.040151, 5.672315, 56.671991, 8.721301, 47.208277, 12.580007, 37.912320, 17.053157, 28.686256, 22.382715, 20.154407, 28.675857, 12.086563, 37.069693, 5.223762, 46.014217, 1.368580, 56.147771, 0.000000, 65.323868, 1.822962, 74.220997, 7.348241, 81.131452, 15.502044, 85.145672, 24.773637, 87.915697, 33.903579, 89.867353, 43.924784, 91.861249, 53.143088, 93.186884, 62.817366, 94.198980, 72.524507, 93.571313, 82.322791, 92.900496, 93.234780, 91.971091, 101.734415, 91.646750, 111.138199, 91.338308, 120.374663, 91.401779, 130.717655, 91.691830, 140.621857, 91.946423, 150.613580, 92.374864, 160.348545, 92.858668, 169.917236, 93.310391, 179.546855, 93.460472, 188.719204, 93.887032, 198.932541, 93.880970, 208.591366, 93.879453, 218.431211, 93.296655, 227.701864, 92.950961, 236.752086, 91.774448, 246.796867, 90.746265, 256.321439, 88.616947, 266.199034, 85.480388, 275.304219, 78.939206, 283.895866, 69.538389, 289.077551, 63.387773, 289.720364, 59.943322, 291.115559
Type02, L, 230, 62.764105, 230.229948, 60.190697, 229.990411, 55.175162, 229.482450, 47.195021, 226.296470, 40.923774, 220.827145, 36.248821, 213.479324, 33.753300, 206.284029, 31.332507, 198.283708, 29.719768, 190.785694, 28.118448, 182.798932, 26.288823, 175.163643, 24.811290, 167.434905, 22.846883, 159.748105, 21.079882, 152.141654, 18.811882, 144.152337, 16.562100, 136.583922, 13.986460, 128.977848, 11.331866, 121.729131, 8.429209, 113.877069, 5.690628, 106.488590, 3.568960, 98.790347, 1.673799, 91.000185, 0.517247, 82.918222, 0.000000, 74.916916, 0.313795, 67.289938, 0.846250, 59.667972, 2.343831, 51.670036, 4.167763, 44.149013, 6.675720, 36.557660, 9.760872, 28.790892, 13.792017, 21.537475, 18.641896, 14.629197, 24.858898, 8.553311, 31.867338, 4.510461, 39.317466, 1.350691, 47.361011, 0.000000, 55.292683, 0.429327, 62.914063, 3.320783, 69.460369, 9.270867, 74.062580, 16.148765, 77.398669, 23.684405, 80.184473, 31.015725, 82.060732, 38.684565, 83.406951, 46.268249, 84.612860, 54.460967, 86.223978, 62.380416, 86.590927, 69.692440, 85.539889, 77.689264, 83.392593, 85.599857, 80.726155, 93.056030, 77.823074, 100.976040, 75.006650, 108.642186, 72.665156, 116.705314, 71.628644, 124.396169, 71.797411, 133.010682, 73.125701, 140.871581, 74.567653, 148.283667, 77.088335, 156.109328, 79.107964, 164.240796, 81.652856, 171.387225, 83.245322, 178.841253, 85.181451, 186.330170, 86.142311, 194.040363, 86.729287, 201.772484, 85.765973, 210.220233, 83.081645, 217.810506, 77.898282, 225.006592, 70.323244, 229.144695, 65.512611, 230.088116, 62.581141, 230.333458
Type02, L, 250, 65.020411, 250.422068, 68.042898, 250.046848, 73.405798, 249.217029, 81.524408, 244.229935, 86.115800, 236.152696, 87.883282, 228.208227, 88.138299, 219.554437, 87.377306, 211.232247, 85.531819, 202.958543, 83.463758, 194.860226, 80.674172, 187.021284, 77.914049, 178.578819, 75.555227, 170.265688, 73.766130, 162.080130, 72.071855, 154.154313, 71.120042, 145.229855, 70.505507, 137.051548, 71.643391, 128.263679, 73.966175, 120.130797, 77.313609, 111.827653, 80.863527, 103.493239, 84.209128, 95.351334, 87.138828, 86.783092, 88.125762, 78.568782, 87.898192, 70.014040, 86.955995, 62.216565, 85.442197, 52.744612, 84.196991, 45.279376, 82.409869, 36.670471, 80.266821, 28.308025, 77.738265, 19.970860, 73.573207, 12.137291, 66.803996, 5.329247, 58.702770, 1.081669, 49.851293, 0.000000, 41.369168, 1.433490, 33.166561, 5.201952, 25.794374, 10.670258, 19.396659, 17.596689, 14.431092, 25.190322, 10.433787, 33.257076, 6.927594, 41.472245, 4.252413, 49.618856, 1.911625, 57.973529, 0.542605, 66.130031, 0.000000, 74.608631, 0.682283, 83.059058, 1.710290, 90.580182, 3.688761, 99.137010, 5.484094, 106.755190, 7.891177, 115.094149, 10.143932, 123.125219, 12.775088, 131.623650, 15.143759, 139.828728, 17.744578, 148.747205, 20.400871, 156.696733, 22.581150, 165.349233, 24.831287, 173.317064, 26.691721, 181.450255, 28.471638, 190.510773, 30.051994, 198.797342, 31.432518, 207.633198, 32.974945, 215.512022, 34.979766, 223.776056, 37.362737, 231.769237, 41.658336, 239.899959, 48.021884, 246.843072, 56.653505, 250.124445, 62.030697, 250.392014, 65.152040, 250.532389
Type02, L, 260, 65.953247, 260.650831, 63.308877, 260.644434, 57.682125, 259.863075, 49.352453, 255.368642, 42.743516, 248.188252, 37.913325, 240.221879, 34.944086, 231.715759, 32.561702, 223.014085, 31.229055, 214.318493, 29.707193, 205.143626, 28.496021, 196.749103, 26.608251, 187.976661, 24.918774, 179.820431, 22.726334, 171.733143, 20.174057, 162.337506, 17.714856, 153.921866, 14.537342, 145.168374, 11.800398, 136.417474, 8.739339, 127.886486, 6.073189, 119.095729, 3.693883, 110.284519, 1.745017, 101.698850, 0.441646, 93.254874, 0.000000, 83.943115, 0.200809, 75.130961, 1.055455, 67.101606, 2.434573, 58.092259, 4.512549, 49.856733, 7.331089, 41.149728, 10.852549, 32.735698, 15.203740, 24.671989, 20.689101, 16.959322, 27.655737, 10.315589, 35.045213, 4.811881, 43.997126, 1.483683, 52.545413, 0.000000, 61.199001, 2.093775, 69.519851, 6.189735, 76.324561, 13.184749, 80.675243, 21.160124, 83.429639, 29.298684, 85.900383, 38.635485, 87.327870, 46.667323, 89.395047, 55.713368, 90.934347, 63.882699, 92.160767, 73.133121, 92.222157, 81.694599, 90.980597, 90.295842, 88.258887, 98.590859, 84.592119, 107.283178, 81.251528, 115.134332, 78.232654, 124.151621, 76.700187, 132.247416, 75.764563, 141.770870, 75.964345, 150.365954, 76.759725, 159.226235, 78.097821, 168.084317, 79.967730, 176.501144, 82.012934, 184.955428, 84.336862, 193.630201, 86.961402, 202.786829, 89.141855, 210.628572, 91.611102, 220.288684, 92.280381, 228.658869, 91.645413, 237.884054, 88.577856, 246.298125, 82.842907, 254.249576, 74.795369, 259.261946, 68.865530, 259.960014, 65.761845, 261.441589
